spot_id,link_id,match_distance_m,match_method,is_primary
A-01,1120006300,23.23,spatial_name_2025,0
A-01,1120006400,11.06,spatial_name_2025,1
A-02,1000007900,2.92,spatial_name_2025,1
A-02,1000008000,9.05,spatial_name_2025,0
A-03,1000019500,4.12,spatial_name_2025,1
A-03,1000019600,16.23,spatial_name_2025,0
A-04,1000020100,32.5,spatial_nearest_2025,0
A-04,1000020200,23.26,spatial_nearest_2025,1
A-05,1000012700,24.98,spatial_name_2025,0
A-05,1000012800,12.68,spatial_name_2025,1
A-06,1000015500,7.36,spatial_name_2025,1
A-06,1000015600,18.9,spatial_name_2025,0
A-07,1000015900,4.84,spatial_name_2025,1
A-07,1000016000,16.83,spatial_name_2025,0
A-08,1000002300,32.8,spatial_name_2025,0
A-08,1000002400,20.35,spatial_name_2025,1
A-09,1010013100,15.76,spatial_name_2025,1
A-09,1010013200,27.86,spatial_name_2025,0
A-10,1010001500,3.77,spatial_name_2025,1
A-10,1010001600,7.81,spatial_name_2025,0
A-11,1010001300,1.62,spatial_name_2025,1
A-11,1010001400,13.69,spatial_name_2025,0
A-12,1010002500,9.83,spatial_name_2025,0
A-12,1010002600,2.24,spatial_name_2025,1
A-13,1010003000,20.19,spatial_name_2025,1
A-14,1000000100,6.36,spatial_name_2025,1
A-14,1000000200,18.86,spatial_name_2025,0
A-15,1000001100,34.14,spatial_name_2025,0
A-15,1000001200,22.41,spatial_name_2025,1
A-16,1010007300,13.16,spatial_name_2025,0
A-16,1010007400,0.99,spatial_name_2025,1
A-17,1010018100,16.36,spatial_name_2025,0
A-17,1010018200,3.93,spatial_name_2025,1
A-18,1010014300,20.68,spatial_name_2025,0
A-18,1010014400,8.68,spatial_name_2025,1
A-19,1010003900,4.81,spatial_name_2025,1
A-19,1010004000,16.9,spatial_name_2025,0
A-20,1020013300,11.03,spatial_nearest_2025,1
A-20,1020013400,22.57,spatial_nearest_2025,0
A-21,1020021500,1.87,spatial_nearest_2025,1
A-21,1020021600,14.07,spatial_nearest_2025,0
A-22,1020021100,27.57,spatial_nearest_2025,0
A-22,1020021200,8.05,spatial_nearest_2025,1
A-23,1010002300,1.73,spatial_name_2025,1
A-23,1010002400,10.27,spatial_name_2025,0
A-24,1010001100,7.42,spatial_name_2025,0
A-24,1010001200,4.75,spatial_name_2025,1
B-01,1090000500,22.17,spatial_name_2025,0
B-01,1090000600,10.14,spatial_name_2025,1
B-02,1100006900,320.19,spatial_name_2025,1
B-02,1100007000,322.24,spatial_name_2025,0
B-03,1040003900,2.36,spatial_name_2025,1
B-03,1040004000,9.76,spatial_name_2025,0
B-04,1060003100,65.2,spatial_name_2025,0
B-04,1060003200,57.78,spatial_name_2025,1
B-05,1060006300,2.77,spatial_name_2025,1
B-05,1060006400,14.75,spatial_name_2025,0
B-06,1100012900,11.75,spatial_name_2025,0
B-06,1100013000,0.36,spatial_name_2025,1
B-07,1060006300,630.33,spatial_nearest_2025,0
B-07,1060006400,618.08,spatial_nearest_2025,1
B-08,1230025400,281.92,spatial_nearest_2025,0
B-08,1230031700,278.35,spatial_nearest_2025,0
B-08,1230031800,266.6,spatial_nearest_2025,1
B-09,1240002100,12.49,spatial_name_2025,1
B-09,1240002200,24.19,spatial_name_2025,0
B-10,1240003700,11.67,spatial_name_2025,0
B-10,1240003800,0.86,spatial_name_2025,1
B-11,1210001900,11.52,spatial_name_2025,0
B-11,1210002000,0.09,spatial_name_2025,1
B-12,1230000500,204.6,spatial_name_2025,1
B-12,1230000600,215.02,spatial_name_2025,0
B-13,1220005800,16.23,spatial_name_2025,1
B-13,1220005900,28.28,spatial_name_2025,0
B-14,1230001500,5.33,spatial_name_2025,1
B-14,1230001600,6.33,spatial_name_2025,0
B-15,1210008000,46.56,spatial_name_2025,0
B-15,1210008100,34.39,spatial_name_2025,1
B-16,1210000900,3.5,spatial_name_2025,1
B-16,1210001000,8.47,spatial_name_2025,0
B-17,1210014000,13.75,spatial_name_2025,1
B-17,1210014100,25.45,spatial_name_2025,0
B-18,2080006500,47.74,spatial_name_2025,0
B-18,2080006600,35.71,spatial_name_2025,1
B-19,1160004900,33.91,spatial_nearest_2025,1
B-19,1160005000,46.07,spatial_nearest_2025,0
B-20,1160004900,2.57,spatial_name_2025,1
B-20,1160005000,9.39,spatial_name_2025,0
B-21,3201504600,6.69,spatial_name_2025,0
B-21,3201504700,5.3,spatial_name_2025,1
B-22,2130003800,25.67,spatial_nearest_2025,0
B-22,2130037200,12.71,spatial_nearest_2025,1
B-22,2130037300,24.75,spatial_nearest_2025,0
B-23,1140284495,4.19,spatial_nearest_2025,1
B-24,1170020300,16.62,spatial_nearest_2025,1
B-24,1170020600,28.46,spatial_nearest_2025,0
B-25,1170000700,153.35,spatial_name_2025,1
B-25,1170000800,154.39,spatial_name_2025,0
B-26,3201506400,34.11,spatial_name_2025,0
B-26,3201506500,26.71,spatial_name_2025,1
B-27,1140037900,6.78,spatial_name_2025,0
B-27,1140038000,5.36,spatial_name_2025,1
B-28,1140017100,221.22,spatial_nearest_2025,0
B-28,1140017200,232.23,spatial_nearest_2025,0
B-28,1140023300,215.77,spatial_nearest_2025,1
B-28,1140023400,227.67,spatial_nearest_2025,0
B-29,1160000100,30.83,spatial_name_2025,1
B-29,1160000200,37.37,spatial_name_2025,0
B-30,1140000700,9.08,spatial_name_2025,0
B-30,1140000800,2.9,spatial_name_2025,1
B-31,1150005100,75.94,spatial_name_2025,1
B-31,1150005200,76.86,spatial_name_2025,0
B-32,1150006000,11.98,spatial_name_2025,0
B-32,1150006100,0.61,spatial_name_2025,1
B-33,1110002300,353.79,spatial_name_2025,0
B-33,1110002400,353.54,spatial_name_2025,1
B-34,1110013300,17.94,spatial_name_2025,1
B-34,1110013400,29.82,spatial_name_2025,0
B-35,1110004900,12.63,spatial_name_2025,0
B-35,1110005000,0.76,spatial_name_2025,1
B-36,1130006900,0.7,spatial_name_2025,1
B-36,1130007000,14.18,spatial_name_2025,0
B-37,2210000500,3.94,spatial_name_2025,1
B-37,2210000600,8.01,spatial_name_2025,0
B-38,1100006700,9.2,spatial_name_2025,0
B-38,1100006800,1.98,spatial_name_2025,1
C-01,1150007300,1.24,spatial_nearest_2025,1
C-02,1130093001,6.77,spatial_nearest_2025,1
C-02,1130093101,14.38,spatial_nearest_2025,0
C-03,1130023700,2.8,spatial_nearest_2025,1
C-03,1130023800,15.08,spatial_nearest_2025,0
C-04,1180005400,11.2,spatial_nearest_2025,0
C-04,1180005500,0.42,spatial_nearest_2025,1
C-05,1180003700,0.36,spatial_nearest_2025,1
C-05,1180003800,12.79,spatial_nearest_2025,0
C-06,1180041000,10.8,spatial_nearest_2025,0
C-06,1180041100,1.06,spatial_nearest_2025,1
C-07,1180002500,1.2,spatial_nearest_2025,1
C-07,1180002600,10.4,spatial_nearest_2025,0
C-08,1180031600,12.47,spatial_nearest_2025,0
C-08,1180031700,0.82,spatial_nearest_2025,1
C-09,1190007500,0.48,spatial_nearest_2025,1
C-09,1190007600,12.95,spatial_nearest_2025,0
C-10,1210027900,0.24,spatial_nearest_2025,1
C-11,1210028800,3.86,spatial_nearest_2025,1
C-11,1210028900,15.56,spatial_nearest_2025,0
C-12,1210026600,21.03,spatial_nearest_2025,0
C-12,1210026700,8.89,spatial_nearest_2025,1
C-13,1210030600,0.26,spatial_nearest_2025,1
C-13,1210030700,12.46,spatial_nearest_2025,0
C-14,1220037000,2.57,spatial_nearest_2025,1
C-15,1220037200,0.48,spatial_nearest_2025,1
C-15,1220037300,11.55,spatial_nearest_2025,0
C-16,1220005200,11.41,spatial_nearest_2025,0
C-16,1220005300,0.67,spatial_nearest_2025,1
C-17,1220005000,10.2,spatial_nearest_2025,0
C-17,1220005100,1.49,spatial_nearest_2025,1
C-18,1230004900,0.22,spatial_nearest_2025,1
C-18,1230005000,19.58,spatial_nearest_2025,0
C-19,1230037000,1.55,spatial_nearest_2025,1
C-19,1230037100,13.59,spatial_nearest_2025,0
C-20,1240001500,1.21,spatial_nearest_2025,1
C-20,1240001600,12.92,spatial_nearest_2025,0
C-21,1040011800,9.5,spatial_nearest_2025,0
C-21,1040011900,2.2,spatial_nearest_2025,1
D-01,1000021500,16.22,spatial_name_2025,0
D-01,1000021600,4.72,spatial_name_2025,1
D-02,1000021700,14.06,spatial_name_2025,0
D-02,1000021800,1.32,spatial_name_2025,1
D-03,1030012400,11.5,spatial_name_2025,1
D-04,1020006900,0.71,spatial_name_2025,1
D-04,1020007000,12.37,spatial_name_2025,0
D-05,1050003700,5.54,spatial_name_2025,1
D-06,1030006500,0.49,spatial_name_2025,1
D-06,1030006600,12.16,spatial_name_2025,0
D-07,1030002100,11.45,spatial_name_2025,0
D-07,1030002200,0.44,spatial_name_2025,1
D-08,1005003900,29.01,spatial_name_2025,1
D-09,1070011100,7.2,spatial_name_2025,1
D-09,1070011200,19.23,spatial_name_2025,0
D-10,1100008100,0.7,spatial_name_2025,1
D-10,1100008200,12.73,spatial_name_2025,0
D-11,1090001700,41.38,spatial_name_2025,0
D-11,1090001800,29.82,spatial_name_2025,1
D-12,1100000600,1.35,spatial_name_2025,1
D-13,1100003500,33.88,spatial_name_2025,1
D-13,1100003600,46.49,spatial_name_2025,0
D-14,1110000100,5.54,spatial_name_2025,1
D-14,1110000200,6.11,spatial_name_2025,0
D-15,1120013700,19.95,spatial_name_2025,1
D-15,1120013800,31.78,spatial_name_2025,0
D-16,1120004600,9.34,spatial_name_2025,1
D-17,1120005300,9.13,spatial_name_2025,0
D-17,1120005400,3.39,spatial_name_2025,1
D-18,1140039700,30.66,spatial_name_2025,0
D-18,1140039800,18.33,spatial_name_2025,1
D-19,1140017100,42.87,spatial_name_2025,0
D-19,1140017200,31.44,spatial_name_2025,1
D-20,1150008600,7.28,spatial_name_2025,0
D-20,1150008700,5.09,spatial_name_2025,1
D-21,1150001900,11.01,spatial_name_2025,1
D-21,1150002000,23.08,spatial_name_2025,0
D-22,1160001700,28.83,spatial_name_2025,0
D-22,1160001800,16.94,spatial_name_2025,1
D-23,1160002700,3.51,spatial_name_2025,1
D-23,1160002800,15.55,spatial_name_2025,0
D-24,1170007300,17.2,spatial_name_2025,1
D-24,1170007400,29.24,spatial_name_2025,0
D-25,1180026800,13.9,spatial_name_2025,1
D-25,1180026900,25.79,spatial_name_2025,0
D-26,1180005800,30.5,spatial_name_2025,1
D-26,1180005900,42.2,spatial_name_2025,0
D-27,1180030000,27.81,spatial_nearest_2025,1
D-27,1180030100,40.1,spatial_nearest_2025,0
D-27,1180031400,44.44,spatial_nearest_2025,0
D-28,1180001500,7.89,spatial_name_2025,1
