id,spot_id,measured_at,direction_code,lane_no,traffic_volume,collected_at
1,A-01,2026-09-03 01:00:00,1,1,103,2026-09-04 02:16:48
2,A-01,2026-09-03 01:00:00,1,2,240,2026-09-04 02:16:48
3,A-01,2026-09-03 01:00:00,2,1,268,2026-09-04 02:16:48
4,A-01,2026-09-03 01:00:00,2,2,229,2026-09-04 02:16:48
5,A-01,2026-09-03 02:00:00,1,1,78,2026-09-04 02:16:48
6,A-01,2026-09-03 02:00:00,1,2,198,2026-09-04 02:16:48
7,A-01,2026-09-03 02:00:00,2,1,181,2026-09-04 02:16:48
8,A-01,2026-09-03 02:00:00,2,2,165,2026-09-04 02:16:48
9,A-01,2026-09-03 03:00:00,1,1,63,2026-09-04 02:16:49
10,A-01,2026-09-03 03:00:00,1,2,172,2026-09-04 02:16:49
11,A-01,2026-09-03 03:00:00,2,1,139,2026-09-04 02:16:49
12,A-01,2026-09-03 03:00:00,2,2,118,2026-09-04 02:16:49
13,A-02,2026-09-03 01:00:00,1,1,81,2026-09-04 02:16:49
14,A-02,2026-09-03 01:00:00,1,2,156,2026-09-04 02:16:49
15,A-02,2026-09-03 01:00:00,1,3,222,2026-09-04 02:16:49
16,A-02,2026-09-03 01:00:00,2,1,160,2026-09-04 02:16:49
17,A-02,2026-09-03 01:00:00,2,2,124,2026-09-04 02:16:49
18,A-02,2026-09-03 01:00:00,2,3,145,2026-09-04 02:16:49
19,A-02,2026-09-03 02:00:00,1,1,57,2026-09-04 02:16:49
20,A-02,2026-09-03 02:00:00,1,2,127,2026-09-04 02:16:49
21,A-02,2026-09-03 02:00:00,1,3,166,2026-09-04 02:16:49
22,A-02,2026-09-03 02:00:00,2,1,110,2026-09-04 02:16:49
23,A-02,2026-09-03 02:00:00,2,2,97,2026-09-04 02:16:49
24,A-02,2026-09-03 02:00:00,2,3,131,2026-09-04 02:16:49
25,A-02,2026-09-03 03:00:00,1,1,48,2026-09-04 02:16:49
26,A-02,2026-09-03 03:00:00,1,2,115,2026-09-04 02:16:49
27,A-02,2026-09-03 03:00:00,1,3,109,2026-09-04 02:16:49
28,A-02,2026-09-03 03:00:00,2,1,75,2026-09-04 02:16:49
29,A-02,2026-09-03 03:00:00,2,2,90,2026-09-04 02:16:49
30,A-02,2026-09-03 03:00:00,2,3,103,2026-09-04 02:16:49
31,A-03,2026-09-03 01:00:00,1,1,49,2026-09-04 02:16:49
32,A-03,2026-09-03 01:00:00,1,2,69,2026-09-04 02:16:49
33,A-03,2026-09-03 01:00:00,2,1,68,2026-09-04 02:16:49
34,A-03,2026-09-03 01:00:00,2,2,41,2026-09-04 02:16:49
35,A-03,2026-09-03 02:00:00,1,1,23,2026-09-04 02:16:49
36,A-03,2026-09-03 02:00:00,1,2,59,2026-09-04 02:16:49
37,A-03,2026-09-03 02:00:00,2,1,44,2026-09-04 02:16:49
38,A-03,2026-09-03 02:00:00,2,2,35,2026-09-04 02:16:49
39,A-03,2026-09-03 03:00:00,1,1,35,2026-09-04 02:16:49
40,A-03,2026-09-03 03:00:00,1,2,34,2026-09-04 02:16:49
41,A-03,2026-09-03 03:00:00,2,1,38,2026-09-04 02:16:49
42,A-03,2026-09-03 03:00:00,2,2,20,2026-09-04 02:16:49
43,A-04,2026-09-03 01:00:00,1,1,8,2026-09-04 02:16:50
44,A-04,2026-09-03 01:00:00,2,1,15,2026-09-04 02:16:50
45,A-04,2026-09-03 02:00:00,1,1,6,2026-09-04 02:16:51
46,A-04,2026-09-03 02:00:00,2,1,20,2026-09-04 02:16:51
47,A-04,2026-09-03 03:00:00,1,1,10,2026-09-04 02:16:51
48,A-04,2026-09-03 03:00:00,2,1,5,2026-09-04 02:16:51
49,A-05,2026-09-03 01:00:00,1,1,68,2026-09-04 02:16:51
50,A-05,2026-09-03 01:00:00,1,2,205,2026-09-04 02:16:51
51,A-05,2026-09-03 01:00:00,1,3,102,2026-09-04 02:16:51
52,A-05,2026-09-03 01:00:00,2,1,146,2026-09-04 02:16:51
53,A-05,2026-09-03 01:00:00,2,2,173,2026-09-04 02:16:51
54,A-05,2026-09-03 01:00:00,2,3,112,2026-09-04 02:16:51
55,A-05,2026-09-03 02:00:00,1,1,25,2026-09-04 02:16:51
56,A-05,2026-09-03 02:00:00,1,2,192,2026-09-04 02:16:51
57,A-05,2026-09-03 02:00:00,1,3,92,2026-09-04 02:16:51
58,A-05,2026-09-03 02:00:00,2,1,95,2026-09-04 02:16:51
59,A-05,2026-09-03 02:00:00,2,2,167,2026-09-04 02:16:51
60,A-05,2026-09-03 02:00:00,2,3,109,2026-09-04 02:16:51
61,A-05,2026-09-03 03:00:00,1,1,28,2026-09-04 02:16:51
62,A-05,2026-09-03 03:00:00,1,2,93,2026-09-04 02:16:51
63,A-05,2026-09-03 03:00:00,1,3,34,2026-09-04 02:16:51
64,A-05,2026-09-03 03:00:00,2,1,78,2026-09-04 02:16:51
65,A-05,2026-09-03 03:00:00,2,2,135,2026-09-04 02:16:51
66,A-05,2026-09-03 03:00:00,2,3,85,2026-09-04 02:16:51
67,A-06,2026-09-03 01:00:00,1,1,1,2026-09-04 02:16:51
68,A-06,2026-09-03 01:00:00,1,2,103,2026-09-04 02:16:51
69,A-06,2026-09-03 01:00:00,1,3,228,2026-09-04 02:16:51
70,A-06,2026-09-03 01:00:00,1,4,43,2026-09-04 02:16:51
71,A-06,2026-09-03 01:00:00,2,1,232,2026-09-04 02:16:51
72,A-06,2026-09-03 01:00:00,2,2,162,2026-09-04 02:16:51
73,A-06,2026-09-03 02:00:00,1,1,2,2026-09-04 02:16:51
74,A-06,2026-09-03 02:00:00,1,2,52,2026-09-04 02:16:51
75,A-06,2026-09-03 02:00:00,1,3,167,2026-09-04 02:16:52
76,A-06,2026-09-03 02:00:00,1,4,48,2026-09-04 02:16:52
77,A-06,2026-09-03 02:00:00,2,1,214,2026-09-04 02:16:52
78,A-06,2026-09-03 02:00:00,2,2,109,2026-09-04 02:16:52
79,A-06,2026-09-03 03:00:00,1,1,2,2026-09-04 02:16:52
80,A-06,2026-09-03 03:00:00,1,2,60,2026-09-04 02:16:52
81,A-06,2026-09-03 03:00:00,1,3,154,2026-09-04 02:16:52
82,A-06,2026-09-03 03:00:00,1,4,39,2026-09-04 02:16:52
83,A-06,2026-09-03 03:00:00,2,1,144,2026-09-04 02:16:52
84,A-06,2026-09-03 03:00:00,2,2,76,2026-09-04 02:16:52
85,A-07,2026-09-03 01:00:00,1,1,152,2026-09-04 02:16:52
86,A-07,2026-09-03 01:00:00,1,2,90,2026-09-04 02:16:52
87,A-07,2026-09-03 01:00:00,2,1,27,2026-09-04 02:16:52
88,A-07,2026-09-03 01:00:00,2,2,154,2026-09-04 02:16:52
89,A-07,2026-09-03 01:00:00,2,3,195,2026-09-04 02:16:52
90,A-07,2026-09-03 01:00:00,2,4,46,2026-09-04 02:16:52
91,A-07,2026-09-03 02:00:00,1,1,105,2026-09-04 02:16:52
92,A-07,2026-09-03 02:00:00,1,2,79,2026-09-04 02:16:52
93,A-07,2026-09-03 02:00:00,2,1,18,2026-09-04 02:16:52
94,A-07,2026-09-03 02:00:00,2,2,108,2026-09-04 02:16:52
95,A-07,2026-09-03 02:00:00,2,3,153,2026-09-04 02:16:52
96,A-07,2026-09-03 02:00:00,2,4,39,2026-09-04 02:16:52
97,A-07,2026-09-03 03:00:00,1,1,102,2026-09-04 02:16:52
98,A-07,2026-09-03 03:00:00,1,2,58,2026-09-04 02:16:52
99,A-07,2026-09-03 03:00:00,2,1,21,2026-09-04 02:16:52
100,A-07,2026-09-03 03:00:00,2,2,90,2026-09-04 02:16:52
101,A-07,2026-09-03 03:00:00,2,3,128,2026-09-04 02:16:52
102,A-07,2026-09-03 03:00:00,2,4,29,2026-09-04 02:16:52
103,A-08,2026-09-03 01:00:00,1,1,17,2026-09-04 02:16:52
104,A-08,2026-09-03 01:00:00,1,2,112,2026-09-04 02:16:52
105,A-08,2026-09-03 01:00:00,1,3,264,2026-09-04 02:16:52
106,A-08,2026-09-03 01:00:00,1,4,173,2026-09-04 02:16:52
107,A-08,2026-09-03 01:00:00,2,1,25,2026-09-04 02:16:52
108,A-08,2026-09-03 01:00:00,2,2,430,2026-09-04 02:16:52
109,A-08,2026-09-03 01:00:00,2,3,315,2026-09-04 02:16:52
110,A-08,2026-09-03 01:00:00,2,4,1,2026-09-04 02:16:52
111,A-08,2026-09-03 02:00:00,1,1,13,2026-09-04 02:16:52
112,A-08,2026-09-03 02:00:00,1,2,86,2026-09-04 02:16:52
113,A-08,2026-09-03 02:00:00,1,3,177,2026-09-04 02:16:52
114,A-08,2026-09-03 02:00:00,1,4,101,2026-09-04 02:16:52
115,A-08,2026-09-03 02:00:00,2,1,14,2026-09-04 02:16:52
116,A-08,2026-09-03 02:00:00,2,2,398,2026-09-04 02:16:52
117,A-08,2026-09-03 02:00:00,2,3,299,2026-09-04 02:16:52
118,A-08,2026-09-03 02:00:00,2,4,1,2026-09-04 02:16:52
119,A-08,2026-09-03 03:00:00,1,1,14,2026-09-04 02:16:53
120,A-08,2026-09-03 03:00:00,1,2,62,2026-09-04 02:16:53
121,A-08,2026-09-03 03:00:00,1,3,176,2026-09-04 02:16:53
122,A-08,2026-09-03 03:00:00,1,4,98,2026-09-04 02:16:53
123,A-08,2026-09-03 03:00:00,2,1,13,2026-09-04 02:16:53
124,A-08,2026-09-03 03:00:00,2,2,304,2026-09-04 02:16:53
125,A-08,2026-09-03 03:00:00,2,3,220,2026-09-04 02:16:53
126,A-08,2026-09-03 03:00:00,2,4,3,2026-09-04 02:16:53
127,A-09,2026-09-03 01:00:00,1,1,136,2026-09-04 02:16:53
128,A-09,2026-09-03 01:00:00,1,2,301,2026-09-04 02:16:53
129,A-09,2026-09-03 01:00:00,1,3,69,2026-09-04 02:16:53
130,A-09,2026-09-03 01:00:00,2,1,344,2026-09-04 02:16:53
131,A-09,2026-09-03 01:00:00,2,2,163,2026-09-04 02:16:53
132,A-09,2026-09-03 02:00:00,1,1,103,2026-09-04 02:16:53
133,A-09,2026-09-03 02:00:00,1,2,274,2026-09-04 02:16:53
134,A-09,2026-09-03 02:00:00,1,3,57,2026-09-04 02:16:53
135,A-09,2026-09-03 02:00:00,2,1,301,2026-09-04 02:16:53
136,A-09,2026-09-03 02:00:00,2,2,159,2026-09-04 02:16:53
137,A-09,2026-09-03 03:00:00,1,1,86,2026-09-04 02:16:53
138,A-09,2026-09-03 03:00:00,1,2,220,2026-09-04 02:16:53
139,A-09,2026-09-03 03:00:00,1,3,60,2026-09-04 02:16:53
140,A-09,2026-09-03 03:00:00,2,1,251,2026-09-04 02:16:53
141,A-09,2026-09-03 03:00:00,2,2,122,2026-09-04 02:16:53
142,A-10,2026-09-03 01:00:00,1,1,27,2026-09-04 02:16:53
143,A-10,2026-09-03 01:00:00,1,2,102,2026-09-04 02:16:53
144,A-10,2026-09-03 01:00:00,1,3,96,2026-09-04 02:16:53
145,A-10,2026-09-03 01:00:00,1,4,97,2026-09-04 02:16:53
146,A-10,2026-09-03 01:00:00,2,1,77,2026-09-04 02:16:53
147,A-10,2026-09-03 01:00:00,2,2,127,2026-09-04 02:16:53
148,A-10,2026-09-03 01:00:00,2,3,113,2026-09-04 02:16:53
149,A-10,2026-09-03 01:00:00,2,4,47,2026-09-04 02:16:53
150,A-10,2026-09-03 02:00:00,1,1,26,2026-09-04 02:16:53
151,A-10,2026-09-03 02:00:00,1,2,94,2026-09-04 02:16:53
152,A-10,2026-09-03 02:00:00,1,3,72,2026-09-04 02:16:53
153,A-10,2026-09-03 02:00:00,1,4,86,2026-09-04 02:16:53
154,A-10,2026-09-03 02:00:00,2,1,66,2026-09-04 02:16:53
155,A-10,2026-09-03 02:00:00,2,2,105,2026-09-04 02:16:53
156,A-10,2026-09-03 02:00:00,2,3,72,2026-09-04 02:16:53
157,A-10,2026-09-03 02:00:00,2,4,48,2026-09-04 02:16:53
158,A-10,2026-09-03 03:00:00,1,1,14,2026-09-04 02:16:54
159,A-10,2026-09-03 03:00:00,1,2,76,2026-09-04 02:16:54
160,A-10,2026-09-03 03:00:00,1,3,81,2026-09-04 02:16:54
161,A-10,2026-09-03 03:00:00,1,4,82,2026-09-04 02:16:54
162,A-10,2026-09-03 03:00:00,2,1,55,2026-09-04 02:16:54
163,A-10,2026-09-03 03:00:00,2,2,92,2026-09-04 02:16:54
164,A-10,2026-09-03 03:00:00,2,3,54,2026-09-04 02:16:54
